num_ligne;Année;Code académie;Nom académie;Discipline;IPS moyen;Caractéristique;Score moyen;Ecart type;groupe 1;groupe 2;groupe 3;groupe 4;groupe 5;groupe 6
63;2019;12;NANCY-METZ;Français;110.7;Garçon;262.0;41.9;5.4;12.2;22.4;23.6;18.8;17.7
65;2019;12;NANCY-METZ;Mathématiques;110.7;Fille;259.5;42.6;6.0;13.9;23.7;23.7;16.5;16.3
71;2019;13;POITIERS;Mathématiques;114.8;Fille;258.9;41.5;5.2;14.0;24.4;25.2;16.0;15.1
72;2019;13;POITIERS;Mathématiques;114.8;Garçon;270.6;44.5;2.9;9.8;21.3;24.2;18.6;23.1
83;2019;15;STRASBOURG;Mathématiques;113.7;Fille;260.7;44.0;6.0;13.4;23.9;23.1;16.4;17.2
93;2019;17;NANTES;Français;118.0;Garçon;262.3;41.5;5.7;10.6;22.4;24.5;19.2;17.6
101;2019;18;ORLEANS-TOURS;Mathématiques;114.0;Fille;258.0;41.5;5.5;14.3;25.6;23.6;16.2;14.7
102;2019;18;ORLEANS-TOURS;Mathématiques;114.0;Garçon;270.8;44.6;2.9;9.5;20.9;24.8;19.3;22.6
103;2019;19;REIMS;Français;108.7;Ensemble;262.4;43.3;5.8;12.6;21.8;22.6;17.9;19.2
107;2019;19;REIMS;Mathématiques;108.7;Fille;253.6;40.7;7.2;16.5;26.2;22.8;15.0;12.4
